Woche,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag,Gesamt
1,10.000,30.000,12.000,17.000,4.000,8.000,86.000,167.000
2,-0.500,4.000,-2.000,3.500,5.000,-0.500,26.500,36.000
3,81.833,30.000,13.000,4.167,1.333,7.833,6.833,144.999
4,6.667,18.500,10.750,14.583,9.917,6.167,-14.083,52.501
5,-12.400,-3.100,0.650,2.550,2.150,1.500,3.950,-4.700
6,-4.600,-3.067,-2.233,-4.633,-1.400,6.000,-14.533,-24.466
7,-5.000,-6.190,-0.596,-0.881,-1.571,-0.714,-6.096,-21.048
8,-3.625,-4.768,-0.946,-2.786,-0.554,-2.286,19.554,4.589
9,-1.153,-1.708,-1.403,-0.944,-0.764,-2.111,-10.903,-18.986
10,-6.622,-3.467,-2.622,0.044,0.489,-0.389,-8.922,-21.489
11,-2.600,-1.291,2.673,13.673,-0.236,-0.227,-3.118,8.874
12,-3.167,-3.242,-1.523,-0.190,-0.447,1.227,-1.515,-8.857
13,0.398,0.025,-1.673,-1.852,-0.148,-1.500,-5.744,-10.494
14,-3.588,-1.121,-1.434,0.055,-0.126,-1.071,-1.352,-8.637
15,-1.576,-0.971,-1.043,-0.953,-0.243,-1.196,-4.504,-10.486
16,-2.004,-2.600,-1.225,-1.583,-0.712,0.392,-2.129,-9.861
17,-1.416,-1.941,-1.316,-2.162,-0.923,0.051,-2.938,-10.645
18,-1.091,-2.392,-1.059,-0.421,-0.598,-0.732,3.944,-2.349
19,3.076,-1.193,-0.842,-1.272,-0.799,-0.918,-3.418,-5.366
20,-2.332,-0.124,-0.708,-1.395,-0.418,-0.676,-3.276,-8.929
21,0.224,-1.636,-0.783,-0.690,-0.379,3.769,-1.583,-1.078
22,1.112,-1.078,-0.076,-0.401,1.247,0.426,-2.622,-1.392
23,-0.853,0.364,-0.243,0.200,-0.296,-0.567,-1.741,-3.136
24,-1.616,-1.500,-0.015,1.058,-0.272,2.272,-0.804,-0.877
25,-1.687,-0.860,-0.173,1.893,-0.010,2.490,-0.580,1.073
26,-0.711,-1.025,-0.545,-0.329,0.068,0.337,-1.382,-3.587
27,-1.436,73.163,-0.356,-0.972,0.211,-0.762,-1.723,68.125
28,-1.333,-2.242,-0.366,0.312,0.624,-0.744,-0.065,-3.814
29,-1.379,-3.812,-0.410,-1.123,-0.315,-0.968,-0.026,-8.033
30,0.112,-83.857,-0.350,-1.048,1.039,-0.703,-1.357,-86.164
31,-1.281,-0.319,-0.391,-0.819,-0.448,0.181,-1.657,-4.734
32,-0.421,-0.423,-0.398,-0.612,-0.294,-0.362,-0.522,-3.032
33,-0.122,0.299,-0.405,0.061,0.087,-0.280,-1.158,-1.518
34,-0.909,0.752,-0.115,-0.265,-0.359,-0.704,29.029,27.429
35,-29.886,-0.490,0.719,-0.679,-0.396,0.451,-1.830,-32.111
36,0.219,-0.186,-0.321,0.581,-0.068,-0.436,2.938,2.727
37,0.208,0.689,-0.168,-0.748,-0.416,-0.385,-1.653,-2.473
38,-0.252,-0.347,-0.265,0.423,-0.052,-0.049,-1.777,-2.319
39,-0.007,-0.124,-0.251,-0.086,0.028,0.902,-1.686,-1.224
40,2.068,0.557,-0.338,0.094,-0.049,1.132,-1.401,2.063
