Woche,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag,Gesamt
1,10,30,12,17,4,8,86,167
2,9.5,34.000,10.000,20.500,9.000,7.500,112.500,203
3,91.333,64.000,23.000,24.667,10.333,15.333,119.333,347.999
4,98,82.500,33.750,39.250,20.250,21.500,105.250,400.5
5,85.6,79.400,34.400,41.800,22.400,23.000,109.200,395.8
6,81,76.333,32.167,37.167,21.000,29.000,94.667,371.334
7,76,70.143,31.571,36.286,19.429,28.286,88.571,350.286
8,72.375,65.375,30.625,33.500,18.875,26.000,108.125,354.875
9,71.222,63.667,29.222,32.556,18.111,23.889,97.222,335.889
10,64.6,60.200,26.600,32.600,18.600,23.500,88.300,314.4
11,62,58.909,29.273,46.273,18.364,23.273,85.182,323.274
12,58.833,55.667,27.750,46.083,17.917,24.500,83.667,314.417
13,59.231,55.692,26.077,44.231,17.769,23.000,77.923,303.923
14,55.643,54.571,24.643,44.286,17.643,21.929,76.571,295.286
15,54.067,53.600,23.600,43.333,17.400,20.733,72.067,284.8
16,52.063,51.000,22.375,41.750,16.688,21.125,69.938,274.939
17,50.647,49.059,21.059,39.588,15.765,21.176,67.000,264.294
18,49.556,46.667,20.000,39.167,15.167,20.444,70.944,261.945
19,52.632,45.474,19.158,37.895,14.368,19.526,67.526,256.579
20,50.3,45.350,18.450,36.500,13.950,18.850,64.250,247.65
21,50.524,43.714,17.667,35.810,13.571,22.619,62.667,246.572
22,51.636,42.636,17.591,35.409,14.818,23.045,60.045,245.18
23,50.783,43.000,17.348,35.609,14.522,22.478,58.304,242.044
24,49.167,41.500,17.333,36.667,14.250,24.750,57.500,241.167
25,47.48,40.640,17.160,38.560,14.240,27.240,56.920,242.24
26,46.769,39.615,16.615,38.231,14.308,27.577,55.538,238.653
27,45.333,112.778,16.259,37.259,14.519,26.815,53.815,306.778
28,44,110.536,15.893,37.571,15.143,26.071,53.750,302.964
29,42.621,106.724,15.483,36.448,14.828,25.103,53.724,294.931
30,42.733,22.867,15.133,35.400,15.867,24.400,52.367,208.767
31,41.452,22.548,14.742,34.581,15.419,24.581,50.710,204.033
32,41.031,22.125,14.344,33.969,15.125,24.219,50.188,201.001
33,40.909,22.424,13.939,34.030,15.212,23.939,49.030,199.483
34,40,23.176,13.824,33.765,14.853,23.235,78.059,226.912
35,10.114,22.686,14.543,33.086,14.457,23.686,76.229,194.801
36,10.333,22.500,14.222,33.667,14.389,23.250,79.167,197.528
37,10.541,23.189,14.054,32.919,13.973,22.865,77.514,195.055
38,10.289,22.842,13.789,33.342,13.921,22.816,75.737,192.736
39,10.282,22.718,13.538,33.256,13.949,23.718,74.051,191.512
40,12.35,23.275,13.200,33.350,13.900,24.850,72.650,193.575
41,12.244,22.927,13.146,34.220,13.829,25.049,71.366,192.781
42,13.405,24.357,13.262,34.405,13.905,24.976,69.929,194.239
43,14.372,25.326,13.372,34.721,14.140,24.628,69.465,196.024
44,14.318,25.864,13.273,34.591,14.068,24.250,68.409,194.773
45,15.044,26.822,13.556,34.044,13.844,23.667,67.844,194.821
46,15.848,26.522,13.674,33.717,13.478,23.239,66.326,192.804
47,16.404,26.489,13.362,33.574,13.596,22.851,64.957,191.233
48,17,26.667,13.167,33.125,13.750,23.521,63.729,190.959
49,17.224,26.224,13.286,32.571,13.776,23.184,62.837,189.102
50,17.46,25.740,13.160,32.660,13.740,22.820,65.720,191.3
51,18.353,25.608,13.039,32.137,13.569,22.471,64.549,189.726
52,18.192,26.019,12.846,31.846,13.692,22.135,63.423,188.153
53,18.396,25.906,12.811,31.340,13.717,21.925,62.642,186.737
54,18.481,26.000,12.889,31.556,13.963,23.204,61.722,187.815
55,19.818,25.527,12.709,31.545,13.764,22.818,61.000,187.181
56,20.071,25.054,12.429,31.250,13.607,22.625,59.982,185.018
57,20.105,24.842,12.281,31.263,13.614,22.386,59.439,183.93
58,20.845,24.672,12.121,30.862,13.534,22.052,59.276,183.362
59,20.881,24.254,11.932,30.593,13.458,21.983,58.576,181.677
60,20.683,23.967,11.750,30.150,13.300,21.583,57.667,179.1
61,20.377,24.311,13.246,30.197,13.934,21.967,58.115,182.147
62,22.048,23.984,13.065,29.742,13.694,21.758,58.177,182.468
63,21.794,23.794,12.921,29.365,13.619,21.571,57.889,180.953
64,22.094,23.594,13.063,29.438,13.797,22.281,57.234,181.501
65,22.954,23.446,13.262,29.969,13.831,22.138,57.323,182.923
66,23.424,23.258,13.258,30.939,13.682,22.591,56.712,183.864
67,23.328,23.493,13.075,30.612,14.164,22.448,56.090,183.21
68,24.103,23.191,13.779,30.265,14.029,23.368,55.471,184.206
69,24.29,22.913,13.768,30.565,13.841,23.406,54.826,183.609
70,24.029,22.657,13.671,30.143,13.643,23.229,54.200,181.572
71,23.803,22.352,13.944,29.873,13.507,22.958,55.282,181.719
72,25.569,22.222,13.819,30.347,13.403,23.583,54.625,183.568
73,25.822,21.945,13.767,30.466,13.370,23.904,54.014,183.288
74,26.014,21.649,13.541,30.392,13.189,23.892,53.311,181.988
75,26.053,21.893,13.467,30.120,13.827,23.653,52.960,181.973
76,25.829,21.645,13.224,30.158,13.645,23.737,52.684,180.922
77,25.519,21.870,13.273,29.792,13.922,23.610,52.026,180.012
78,25.679,21.718,13.179,30.167,14.013,23.385,51.359,179.500
79,25.646,21.544,13.089,30.215,13.924,23.456,50.848,178.722
80,25.813,21.275,12.988,30.350,13.788,23.775,50.450,178.439
81,26.111,21.086,12.938,30.074,14.407,23.975,50.346,178.937
