Woche,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag
1,5.9880,17.9641,7.1856,10.1796,2.3952,4.7904,51.4970
2,-1.1112,-1.0322,-1.9192,-0.0689,1.7313,-0.9308,3.3310
3,11.6973,0.8346,0.8046,-1.6461,-0.6963,0.3331,-11.3272
4,1.1432,1.7412,1.4392,1.6025,1.3826,0.7439,-8.0526
5,-1.6337,-0.3472,0.4608,0.7452,0.6820,0.5511,-0.4583
6,1.2016,0.8896,0.0771,-0.8650,0.0213,3.0345,-4.3591
7,0.4644,-0.7597,0.6360,0.5560,-0.1503,0.3131,-1.0595
8,-0.7006,-1.3777,-0.3103,-0.8607,-0.1862,-0.7814,4.2170
9,1.8496,1.0290,0.1565,0.4383,0.1491,-0.4722,-3.1504
10,-1.4766,0.5025,-0.6051,1.7192,1.3680,0.8947,-2.4026
11,-0.7895,-0.7527,0.5152,2.9652,-0.2557,-0.3072,-1.3753
12,-0.4644,-0.7896,-0.2809,0.4593,-0.0375,0.7785,0.3346
13,1.5221,1.0430,-0.3684,-0.2204,0.1989,-0.4722,-1.7030
14,-0.9123,0.2081,-0.3223,0.6847,0.1529,-0.2931,0.4821
15,0.4274,0.6555,-0.0631,0.4034,0.2260,-0.3523,-1.2968
16,0.0073,-0.6475,-0.2660,-0.1199,-0.1410,0.8394,0.3278
17,0.7397,-0.0007,-0.4200,-0.6267,-0.3398,0.8667,-0.2193
18,-0.2216,-0.9143,-0.3233,-0.0517,-0.2360,-0.3296,2.0765
19,2.6194,-0.1708,-0.2051,-0.3115,-0.3297,-0.3859,-1.2164
20,-0.6329,1.8527,0.0109,-0.1081,0.0879,-0.0564,-1.1541
21,0.2251,-0.7161,-0.2530,-0.2427,-0.1598,1.6567,-0.5102
22,0.6718,-0.4524,0.0663,-0.0969,0.5963,0.1997,-0.9848
23,-0.0920,0.4661,0.0400,0.3733,-0.0798,-0.2105,-0.4972
24,-0.6288,-0.6691,0.0682,0.5289,-0.1150,1.0180,-0.2022
25,-0.6913,-0.4437,-0.0509,0.6363,-0.0416,0.8414,-0.2501
26,0.0100,-0.3353,-0.1561,0.1562,0.1737,0.4574,-0.3059
27,-0.6973,2.9330,-0.2067,-0.5797,-0.2013,-0.4589,-0.7892
28,-0.5184,0.1532,-0.0968,0.2625,0.3502,-0.3310,0.1803
29,-0.4235,-0.7194,0.0035,-0.3024,0.0699,-0.5101,1.8821
30,-0.6527,2.8351,-0.1945,-0.5276,-0.2875,-0.3867,-0.7861
31,-0.3897,-0.0649,-0.0188,0.0338,-0.1001,1.2047,-0.6650
32,0.3012,-0.4532,-0.1104,-0.0343,-0.0194,-0.0030,0.3191
33,0.2325,-0.0385,-0.1403,0.2654,0.1731,-0.0699,-0.4223
34,-0.4759,-0.5348,-0.1256,-0.3864,-0.1799,-0.3580,2.0606
35,2.7304,-0.6445,-0.2679,-0.4593,-0.1804,-0.4618,-0.7166
36,-0.3660,-0.4384,-0.1038,0.1091,-0.0535,-0.2395,1.0920
37,-0.0533,0.6616,0.0782,-0.2419,-0.1868,-0.0709,-0.1869
38,-0.4728,-0.3190,-0.0262,0.8270,0.1430,0.2259,-0.3780
39,-0.2956,-0.2239,-0.0500,0.1409,0.1134,0.7367,-0.4214
40,0.3953,-0.1125,-0.1164,-0.0458,-0.0414,0.3294,-0.4085
41,-0.3307,-0.3712,0.0559,0.6724,0.0204,0.1991,-0.2458
42,0.1386,0.2914,0.0593,0.0136,0.0161,-0.0922,-0.4268
43,0.0456,0.0843,0.0462,0.0404,0.0657,-0.2035,-0.0786
44,-0.2243,0.3167,0.0382,0.1034,0.0387,-0.1492,-0.1236
45,0.1267,0.3087,0.1879,-0.2454,-0.0912,-0.2912,0.0045
46,0.7108,-0.1890,0.2978,0.0598,-0.1954,-0.1712,-0.5129
47,0.3468,-0.0052,-0.1291,0.1437,0.2152,-0.1580,-0.4136
48,0.1238,-0.0330,-0.0594,-0.1945,0.1194,0.4048,-0.3611
49,0.1742,-0.3309,0.2849,-0.2017,0.1799,-0.0994,-0.0070
50,-0.1988,-0.4043,-0.0596,-0.0662,-0.0470,-0.2020,0.9779
51,0.7317,-0.0659,0.0205,-0.2002,-0.0356,-0.1386,-0.3119
52,-0.2098,0.4443,-0.0482,0.0062,0.2353,-0.1308,-0.2971
53,0.1076,-0.0596,0.0849,-0.2075,0.1275,-0.0296,-0.0233
54,-0.1978,-0.1508,0.0300,0.0433,0.0810,0.4791,-0.2847
55,0.7320,-0.3754,-0.0616,0.0910,-0.0866,-0.1899,-0.1094
56,0.5520,-0.3890,-0.1756,0.1318,0.0167,0.1182,-0.2541
57,-0.0573,-0.1634,-0.0326,0.1848,0.0829,-0.0765,0.0622
58,0.3556,-0.1687,-0.0533,-0.1788,-0.0134,-0.1658,0.2244
59,0.1005,-0.3314,-0.0650,0.0402,0.0676,0.1693,0.0188
60,0.1963,0.1118,-0.0210,-0.0119,0.1337,-0.3169,-0.0921
61,-0.3476,-0.1148,0.3816,-0.1061,0.1200,0.0170,0.0498
62,0.6449,-0.2780,-0.0699,-0.2326,-0.1216,-0.1105,0.1677
63,-0.2405,-0.0817,-0.0104,-0.1314,0.0543,0.0047,0.4050
64,-0.0441,-0.2151,0.0772,0.0109,0.0718,0.3096,-0.2103
65,0.1031,-0.2082,0.0641,0.1277,-0.0186,-0.1041,0.0359
66,0.0027,-0.2113,-0.0012,0.3513,-0.0818,0.1488,-0.2084
67,-0.1452,0.1438,-0.0697,-0.1359,0.3867,-0.0339,-0.1459
68,0.1258,-0.2525,0.2793,-0.1854,-0.0786,0.3286,-0.2171
69,0.0583,-0.2220,0.0507,0.2964,-0.0951,0.0918,-0.1802
70,-0.1039,-0.0814,0.1633,-0.1867,-0.1023,0.2127,0.0984
71,-0.2484,-0.2435,0.1603,-0.1351,-0.0701,-0.1418,0.6787
72,0.3664,-0.1867,-0.0608,0.0712,-0.0706,0.1330,-0.2525
73,0.0695,-0.2213,0.0031,0.1187,-0.0024,0.2286,-0.1963
74,0.3241,-0.2319,-0.1264,0.1805,-0.0935,0.1900,-0.2429
75,-0.0839,0.0690,-0.0182,-0.1338,0.3584,-0.1233,-0.0682
76,-0.1764,-0.1849,-0.1403,0.2227,-0.0945,0.2233,0.1502
77,-0.2630,0.2380,0.1259,-0.1798,0.3174,-0.0007,-0.2378
78,0.0686,-0.1270,-0.0188,0.3420,0.0974,-0.1074,-0.2548
79,-0.0300,-0.1284,-0.0082,0.1646,-0.0199,0.1522,-0.1303
80,0.0396,-0.2099,-0.0315,0.1288,-0.0695,0.2338,-0.0914
81,0.0119,-0.1709,-0.0195,-0.1537,0.2693,0.0657,-0.0027
