Woche,Anfangsdatum,Enddatum,montag,proz_montag,dienstag,proz_dienstag,mittwoch,proz_mittwoch,donnerstag,proz_donnerstag,freitag,proz_freitag,samstag,proz_samstag,sonntag,proz_sonntag,Gesamt,Subs
1,2023-10-16,2023-10-22,10,5.98802,30,17.9641,12,7.1856,17,10.1796,4,2.3952,8,4.7904,86,51.4970,167,15450
2,2023-10-23,2023-10-29,9,3.76569,38,15.8996,8,3.3473,24,10.0418,14,5.8577,7,2.9289,139,58.1590,239,15689
3,2023-10-30,2023-11-05,255,39.96865,124,19.4357,49,7.6803,33,5.1724,13,2.0376,31,4.8589,133,20.8464,638,16327
4,2023-11-06,2023-11-12,118,21.14695,138,24.7312,66,11.8280,83,14.8746,50,8.9606,40,7.1685,63,11.2903,558,16885
5,2023-11-13,2023-11-19,36,9.54907,67,17.7719,37,9.8143,52,13.7931,31,8.2228,29,7.6923,125,33.1565,377,17262
6,2023-11-20,2023-11-26,58,23.29317,61,24.4980,21,8.4337,14,5.6225,14,5.6225,59,23.6948,22,8.8353,249,17511
7,2023-11-27,2023-12-03,46,20.53571,33,14.7321,28,12.5000,31,13.8393,10,4.4643,24,10.7143,52,23.2143,224,17735
8,2023-12-04,2023-12-10,47,12.14470,32,8.2687,24,6.2016,14,3.6176,15,3.8760,10,2.5840,245,63.3075,387,18122
9,2023-12-11,2023-12-17,62,33.69565,50,27.1739,18,9.7826,25,13.5870,12,6.5217,7,3.8043,10,5.4348,184,18306
10,2023-12-18,2023-12-24,5,4.13223,29,23.9669,3,2.4793,33,27.2727,23,19.0083,20,16.5289,8,6.6116,121,18427
11,2023-12-25,2023-12-31,36,8.73786,46,11.1650,56,13.5922,183,44.4175,16,3.8835,21,5.0971,54,13.1068,412,18839
12,2024-01-01,2024-01-07,24,11.05991,20,9.2166,11,5.0691,44,20.2765,13,5.9908,38,17.5115,67,30.8756,217,19056
13,2024-01-08,2024-01-14,64,35.95506,56,31.4607,6,3.3708,22,12.3596,16,8.9888,5,2.8090,9,5.0562,178,19234
14,2024-01-15,2024-01-21,9,4.91803,40,21.8579,6,3.2787,45,24.5902,16,8.7432,8,4.3716,59,32.2404,183,19417
15,2024-01-22,2024-01-28,32,23.18841,40,28.9855,9,6.5217,30,21.7391,14,10.1449,4,2.8986,9,6.5217,138,19555
16,2024-01-29,2024-02-04,22,17.32283,12,9.4488,4,3.1496,18,14.1732,6,4.7244,27,21.2598,38,29.9213,127,19682
17,2024-02-05,2024-02-11,28,29.78723,18,19.1489,0,0.0000,5,5.3191,1,1.0638,22,23.4043,20,21.2766,94,19776
18,2024-02-12,2024-02-18,31,13.96396,6,2.7027,2,0.9009,32,14.4144,5,2.2523,8,3.6036,138,62.1622,222,19998
19,2024-02-19,2024-02-25,108,67.50000,24,15.0000,4,2.5000,15,9.3750,0,0.0000,3,1.8750,6,3.7500,160,20158
20,2024-02-26,2024-03-03,6,7.69231,43,55.1282,5,6.4103,10,12.8205,6,7.6923,6,7.6923,2,2.5641,78,20236
21,2024-03-04,2024-03-10,55,24.44444,11,4.8889,2,0.8889,22,9.7778,6,2.6667,98,43.5556,31,13.7778,225,20461
22,2024-03-11,2024-03-17,75,34.72222,20,9.2593,16,7.4074,27,12.5000,41,18.9815,32,14.8148,5,2.3148,216,20677
23,2024-03-18,2024-03-24,32,18.49711,51,29.4798,12,6.9364,40,23.1214,8,4.6243,10,5.7803,20,11.5607,173,20850
24,2024-03-25,2024-03-31,12,5.42986,7,3.1674,17,7.6923,61,27.6018,8,3.6199,77,34.8416,39,17.6471,221,21071
25,2024-04-01,2024-04-07,7,2.61194,20,7.4627,13,4.8507,84,31.3433,14,5.2239,87,32.4627,43,16.0448,268,21339
26,2024-04-08,2024-04-14,29,19.46309,14,9.3960,3,2.0134,30,20.1342,16,10.7383,36,24.1611,21,14.0940,149,21488
27,2024-04-15,2024-04-21,8,0.38499,2015,96.9682,7,0.3369,12,0.5775,20,0.9625,7,0.3369,9,0.4331,2078,23566
28,2024-04-22,2024-04-28,8,4.00000,50,25.0000,6,3.0000,46,23.0000,32,16.0000,6,3.0000,52,26.0000,200,23766
29,2024-04-29,2024-05-05,4,5.71429,0,0.0000,4,5.7143,5,7.1429,6,8.5714,-2,-2.8571,53,75.7143,70,23836
